,forward_RE,forward_FC,UP,DW,production_RE,production_FC,Offshore DK2,Offshore DK1,Onshore DK2,Onshore DK1
9017,25.65,23.817927089997426,25.65,25.65,0.9852941176470588,0.8889063219425585,0.2160694896851248,0.9715025906735753,0.7691358024691358,0.811461318051576
9018,25.42,24.24781412973136,25.42,22.81,0.9901960784313726,0.766222829964269,0.2160694896851248,0.9715025906735753,0.7802469135802469,0.7994269340974212
9019,24.78,23.4905256575228,24.78,23.0,0.9901960784313726,0.9800803206001388,0.2160694896851248,0.9715025906735753,0.7876543209876543,0.7759312320916906
9020,24.11,8.670617834475093,24.11,19.0,0.9901960784313726,0.8234343600958453,0.2171552660152008,0.9706390328151986,0.8209876543209876,0.7773638968481376
9021,23.16,-42.95769024411423,23.16,19.0,0.9852941176470588,1.0,0.2171552660152008,0.968048359240069,0.837037037037037,0.7902578796561605
9022,21.33,22.785566852745,21.33,19.0,0.9901960784313726,0.8626891421701298,0.2171552660152008,0.9671848013816926,0.8493827160493828,0.8065902578796562
9023,19.31,22.91361048990641,19.31,18.0,0.9852941176470588,0.8374241791833609,0.2171552660152008,0.968048359240069,0.8592592592592593,0.8203438395415473
9024,20.11,17.545817097490932,20.11,16.1,0.9852941176470588,0.8350749895298837,0.2182410423452769,0.8747841105354058,0.7296296296296296,0.7426934097421204
9025,19.37,17.99428899388733,19.37,15.0,0.9803921568627452,0.8796881503530417,0.2182410423452769,0.8773747841105354,0.7111111111111111,0.73810888252149
9026,18.36,18.51275076495572,18.36,15.0,0.9852941176470588,0.9939500925385468,0.2182410423452769,0.8825561312607945,0.7135802469135802,0.6776504297994269
9027,18.34,21.34077159942986,18.34,15.0,0.9852941176470588,1.0,0.2182410423452769,0.8825561312607945,0.7086419753086419,0.6340974212034384
9028,18.16,47.01094472713076,18.16,10.12,0.9852941176470588,0.8493939196767286,0.2182410423452769,0.8860103626943006,0.7777777777777778,0.6100286532951289
9029,18.66,-31.39710007512024,18.66,9.5,0.9852941176470588,1.0,0.2182410423452769,0.968048359240069,0.7716049382716049,0.5813753581661891
9030,17.39,16.27123987298142,17.39,0.0,0.9852941176470588,0.821666804171602,0.2182410423452769,0.9438687392055268,0.7592592592592593,0.5891117478510028
9031,18.22,16.78270797621835,18.22,2.5,0.9852941176470588,1.0,0.2171552660152008,0.8816925734024179,0.7419753086419754,0.5037249283667622
9032,22.1,22.672432525224988,22.1,11.0,0.9803921568627452,1.0,0.2171552660152008,0.7219343696027634,0.7148148148148148,0.4166189111747851
9033,23.93,24.883658193927484,23.93,16.19,0.9803921568627452,0.9763626293163598,0.2160694896851248,0.581174438687392,0.6888888888888889,0.3343839541547277
9034,24.23,19.57571649831573,24.23,16.19,0.9754901960784312,1.0,0.2149837133550488,0.4706390328151986,0.6308641975308642,0.2681948424068768
9035,24.84,21.592515021998945,24.84,20.0,0.9705882352941176,0.9624043524918972,0.2128121606948968,0.3523316062176165,0.5987654320987654,0.226647564469914
9036,24.45,26.28618041253761,24.45,20.0,0.9558823529411764,1.0,0.2073832790445168,0.2590673575129533,0.5790123456790124,0.1991404011461318
9037,24.41,19.242740104132626,24.41,20.7,0.931372549019608,1.0,0.1997828447339848,0.1934369602763385,0.5506172839506173,0.1770773638968481
9038,24.94,-18.69427645680945,24.94,20.7,0.9117647058823528,0.259719462776212,0.1997828447339848,0.1701208981001727,0.5172839506172839,0.1555873925501432
9039,25.27,26.700215652746287,30.0,25.27,0.931372549019608,0.9925261977356538,0.2062975027144408,0.1804835924006908,0.5148148148148148,0.1432664756446991
9040,25.69,22.174430184633824,30.0,25.69,0.9607843137254902,1.0,0.2106406080347448,0.2167530224525043,0.4987654320987654,0.136676217765043
9041,26.5,17.402023483620052,31.8,26.5,0.9705882352941176,1.0,0.2128121606948968,0.2616580310880829,0.4753086419753086,0.1318051575931232
9042,26.68,36.30295443382111,31.8,26.68,0.9754901960784312,0.9075445777795452,0.2160694896851248,0.3177892918825561,0.4234567901234567,0.1395415472779369
9043,26.16,29.784896763547916,28.2,26.16,0.9852941176470588,0.9519792228314982,0.2171552660152008,0.3929188255613126,0.3790123456790123,0.1681948424068768
9044,25.62,27.31345988330855,28.2,25.62,0.9852941176470588,1.0,0.2138979370249728,0.4835924006908463,0.3679012345679012,0.2108882521489971
